Frame,Sensor,Position X,Position Y,Position Z,Quaternion W,Quaternion X,Quaternion Y,Quaternion Z
19,Ground,-5.4008307456970215,11.88051986694336,-1.9616297483444214,0.9041470885276794,0.4269295632839203,0.006740806624293327,0.014275612309575081
20,Ground,-5.40374231338501,11.931249618530273,-1.965192437171936,0.9044344425201416,0.4266115128993988,-0.0004325630434323102,-0.0009170519770123065
21,Ground,-5.403898239135742,11.982088088989258,-1.9688209295272827,0.90444016456604,0.42617201805114746,-0.00814872421324253,-0.017293564975261688
22,Ground,-5.404054164886475,12.032939910888672,-1.972450852394104,0.9041274785995483,0.42564064264297485,-0.015843145549297333,-0.03365332633256912
23,Ground,-5.39996862411499,12.083584785461426,-1.9761582612991333,0.9034095406532288,0.4249280095100403,-0.024403970688581467,-0.05188356339931488
24,Ground,-5.395349502563477,12.134220123291016,-1.9798766374588013,0.9022809267044067,0.4240906834602356,-0.03304881975054741,-0.07031355053186417
25,Ground,-5.388442516326904,12.184505462646484,-1.9836219549179077,0.9006558060646057,0.42307528853416443,-0.04214651510119438,-0.08972281217575073
26,Ground,-5.37845516204834,12.234354972839355,-1.9874054193496704,0.8984221816062927,0.42183753848075867,-0.051863428205251694,-0.11045783758163452
27,Ground,-5.368471145629883,12.284189224243164,-1.9911879301071167,0.8956802487373352,0.42045751214027405,-0.0615386925637722,-0.1310928761959076
28,Ground,-5.352766513824463,12.332529067993164,-1.9949978590011597,0.8920632600784302,0.4187455177307129,-0.07220643758773804,-0.15382304787635803
29,Ground,-5.336859226226807,12.380800247192383,-1.9988077878952026,0.8878186941146851,0.4168538451194763,-0.08286139369010925,-0.17647889256477356
30,Ground,-5.317805767059326,12.427799224853516,-2.002603054046631,0.8829864859580994,0.4147990047931671,-0.09342239797115326,-0.19886913895606995
31,Ground,-5.295702934265137,12.473583221435547,-2.006385326385498,0.8775791525840759,0.41258206963539124,-0.10389555990695953,-0.2209901511669159
32,Ground,-5.273309707641602,12.519187927246094,-2.010161876678467,0.8716882467269897,0.4102379083633423,-0.1141529381275177,-0.24255630373954773
33,Ground,-5.245974063873291,12.562061309814453,-2.013859272003174,0.86704021692276,0.4084804356098175,-0.12158409506082535,-0.2580743134021759
34,Ground,-5.218654632568359,12.604909896850586,-2.01755428314209,0.8621035814285278,0.40663522481918335,-0.1289905160665512,-0.2734715938568115
35,Ground,-5.189782619476318,12.646759033203125,-2.021200656890869,0.8592385649681091,0.4056655466556549,-0.13306638598442078,-0.28184738755226135
36,Ground,-5.159908771514893,12.687871932983398,-2.0248093605041504,0.8578924536705017,0.4053199887275696,-0.13490860164165497,-0.2855449616909027
37,Ground,-5.130104064941406,12.729072570800781,-2.0284156799316406,0.8570743203163147,0.4051866829395294,-0.13599631190299988,-0.28766724467277527
38,Ground,-5.100900650024414,12.770686149597168,-2.031991958618164,0.8599435687065125,0.4065600633621216,-0.13188089430332184,-0.2789504826068878
39,Ground,-5.071688652038574,12.812313079833984,-2.035569190979004,0.8627203106880188,0.40790656208992004,-0.1277521252632141,-0.2701950669288635
40,Ground,-5.04486083984375,12.855464935302734,-2.039149284362793,0.8672769665718079,0.41000163555145264,-0.12068047374486923,-0.25527551770210266
41,Ground,-5.019257545471191,12.899383544921875,-2.0427298545837402,0.8724410533905029,0.41238895058631897,-0.11207757145166397,-0.23710884153842926
42,Ground,-4.994802951812744,12.943897247314453,-2.046308994293213,0.8773723244667053,0.41472524404525757,-0.10311570763587952,-0.21814651787281036
43,Ground,-4.974735260009766,12.990626335144043,-2.0498781204223633,0.882443904876709,0.4171692132949829,-0.09291473776102066,-0.1965438425540924
44,Ground,-4.954679489135742,13.03732681274414,-2.0534448623657227,0.886948823928833,0.4194464087486267,-0.08266240358352661,-0.17479541897773743
45,Ground,-4.938925266265869,13.085624694824219,-2.056973457336426,0.8906521201133728,0.42139941453933716,-0.07303381711244583,-0.15436123311519623
